County,Sector,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,Total Usage
SANTA CLARA,Residential,215.553886,213.707978,265.259017,257.391189,271.397613,260.316953,264.169298,268.636401,263.516235,259.615326,238.817022,262.416512,267.835191,166.376609,222.767742,291.900213,329.242637,314.474241,272.267105,267.157785,268.568954,309.191023,294.863134,271.136314,298.293577,292.623781,6907.495736
SANTA CLARA,Total,410.897569,402.534747,465.160514,450.375099,465.762127,446.425366,453.956202,468.177969,473.124405,522.408294,486.210988,495.130804,537.875115,401.335174,421.143901,496.829279,554.500731,532.811882,480.313941,476.212386,476.022949,529.089749,517.262828,476.065262,546.703592,561.061284,12547.39216
SANTA CRUZ,Non-Residential,20.900714,19.764565,21.741869,20.917107,20.795819,20.774156,20.380079,21.261642,22.418499,24.334607,28.401302,29.217629,30.243579,25.163917,22.550682,26.541656,30.08937,29.049212,27.181237,28.882147,28.692695,33.013359,28.250331,26.495444,32.84942,33.156915,673.067952
SANTA CRUZ,Residential,29.390029,29.086956,36.515453,36.017059,37.220717,36.628539,36.178744,36.662417,36.264032,35.988283,33.979686,36.065234,36.369751,22.94243,29.637124,39.612566,44.951498,41.39443,35.798667,36.487623,35.568159,41.694786,39.625702,35.826747,39.773352,37.906376,937.58636
SANTA CRUZ,Total,50.290743,48.851521,58.257322,56.934166,58.016536,57.402695,56.558823,57.924059,58.682531,60.32289,62.380988,65.282863,66.61333,48.106347,52.187806,66.154222,75.040868,70.443642,62.979904,65.36977,64.260854,74.708145,67.876033,62.322191,72.622772,71.063291,1610.654312
SHASTA,Non-Residential,14.606272,12.975821,15.207158,17.051186,13.635504,13.824535,14.000298,15.810112,17.241051,18.432293,22.685974,29.202075,9.535436,12.372534,11.270325,16.488466,18.02772,22.623418,23.915598,50.8537,65.481203,44.674086,40.990471,23.794925,26.173468,29.843126,600.716755
SHASTA,Residential,15.747954,15.88541,19.202427,19.437344,20.617199,20.268425,19.314924,20.38397,18.929811,20.067617,18.842366,19.314867,20.639208,11.112215,14.346819,19.402261,20.976345,20.945126,17.45107,17.856234,17.231808,18.124882,18.455936,15.469686,15.740781,14.314728,470.079413
SHASTA,Total,30.354226,28.861231,34.409586,36.48853,34.252703,34.09296,33.315222,36.194082,36.170862,38.49991,41.52834,48.516942,30.174644,23.484749,25.617144,35.890727,39.004065,43.568544,41.366668,68.709934,82.713011,62.798968,59.446407,39.264611,41.914249,44.157854,1070.796169
SIERRA,Non-Residential,,,,,,,,,1.54072,1.54072,1.559264,1.312376,0.931484,0.593351,1.056598,,0.289006,0.351925,0.136093,0.195369,0.228361,0.278693,0.238924,0.093421,0.167874,0.1473,
SIERRA,Residential,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
SIERRA,Total,,,,,,,,,1.54072,1.54072,1.559264,1.312376,0.931484,0.593351,1.056598,,0.289006,0.351925,0.136093,0.195369,0.228361,0.278693,0.238924,0.093421,0.167874,0.1473,
SOLANO,Non-Residential,170.761592,179.358677,154.443015,167.716463,150.315766,172.236646,164.30101,183.243894,171.287707,140.713705,357.008465,337.846428,550.529685,544.070243,561.80069,148.801319,240.358413,259.442424,186.343475,168.876508,218.574146,253.129202,241.990038,142.845606,197.167199,231.525479,6294.687795
SOLANO,Residential,51.421161,50.10469,61.299689,60.304509,65.700384,62.513959,61.394958,61.720797,60.148683,61.166854,58.388843,61.284381,63.004462,37.252583,48.108519,65.277046,73.225344,69.083617,57.687632,57.834664,57.929329,66.78384,64.564257,57.517939,63.373731,62.24083,1559.332701
SOLANO,Total,222.182754,229.463367,215.742704,228.020972,216.01615,234.750605,225.695968,244.964691,231.43639,201.880559,415.397308,399.130809,613.534147,581.322826,609.909209,214.078365,313.583757,328.526041,244.031107,226.711172,276.503475,319.913042,306.554295,200.363545,260.54093,293.766309,7854.020497
SONOMA,Non-Residential,38.118818,38.380771,40.187503,38.279678,37.088942,36.982465,36.756459,37.456682,37.273374,37.613786,37.622573,39.827454,45.679378,38.704625,40.209986,36.066585,37.917756,35.950492,32.772895,30.019306,30.757693,33.584426,32.664334,30.594083,33.388331,33.265942,947.164337
SONOMA,Residential,63.323532,63.747767,78.445545,76.332353,80.358746,77.825621,77.930383,79.022067,76.15529,77.895717,73.914422,76.264014,78.68706,47.105648,60.53173,83.034502,92.475835,86.917537,73.092921,72.375342,72.570775,85.377834,81.729536,73.880733,79.247514,76.073933,1964.316357
SONOMA,Total,101.44235,102.128538,118.633048,114.612031,117.447688,114.808086,114.686842,116.478749,113.428664,115.509503,111.536995,116.091468,124.366438,85.810273,100.741716,119.101087,130.393591,122.868029,105.865816,102.394648,103.328468,118.96226,114.39387,104.474816,112.635845,109.339875,2911.480694
STANISLAUS,Non-Residential,124.600446,129.122542,121.499578,123.503381,109.411087,108.362304,110.446181,112.319669,115.062423,110.881723,207.64147,191.604182,162.621552,245.168486,156.502065,152.785705,135.167812,127.626244,126.944382,123.128703,119.04473,117.663803,112.099675,98.525106,103.451055,97.12475,3442.309054
STANISLAUS,Residential,56.834968,55.15379,66.601941,64.838643,69.601388,66.460442,66.377219,66.27918,66.133185,65.978634,63.366372,66.639507,66.591164,40.253967,51.378265,67.498875,75.787582,72.91391,61.845415,61.43005,60.046436,69.620268,65.067125,60.487652,65.182724,63.776134,1656.144836
STANISLAUS,Total,181.435413,184.276332,188.101519,188.342024,179.012475,174.822746,176.8234,178.598849,181.195608,176.860357,271.007842,258.243689,229.212716,285.422453,207.88033,220.28458,210.955394,200.540154,188.789797,184.558753,179.091166,187.284071,177.1668,159.012758,168.633779,160.900884,5098.453889
SUTTER,Non-Residential,8.071151,7.834352,7.769408,9.214616,6.811718,7.830951,8.126088,7.309898,7.024978,94.844915,6.399842,7.345508,12.635576,9.60008,50.713802,13.013266,19.554393,42.347015,15.802351,18.571904,16.171789,15.19771,10.841625,15.043184,14.563119,15.870842,448.510081
SUTTER,Residential,10.859474,10.922286,13.004258,12.863914,13.898588,13.111668,13.296967,13.433358,12.907188,13.330794,12.057341,12.630596,13.912555,7.219312,9.284207,13.096851,14.575415,14.028505,11.963846,12.135194,11.993519,13.234775,12.71579,11.373911,12.225404,11.862588,321.938304
SUTTER,Total,18.930624,18.756639,20.773666,22.07853,20.710306,20.942619,21.423055,20.743256,19.932166,108.175709,18.457183,19.976104,26.548131,16.819392,59.998009,26.110117,34.129808,56.37552,27.766197,30.707098,28.165308,28.432485,23.557415,26.417095,26.788523,27.73343,770.448385
TEHAMA,Non-Residential,7.264341,7.048758,7.163076,8.03442,7.675863,6.767506,7.636909,7.65358,7.546433,8.417073,10.645188,14.96407,20.406771,14.725855,15.662701,15.225087,14.657706,13.946921,15.077061,15.856709,13.754624,15.14036,14.521984,18.138655,15.452526,12.617137,316.001314
TEHAMA,Residential,3.497854,3.518027,4.242188,4.209466,4.460629,4.394143,4.2262,4.304555,4.060313,4.189185,4.095347,5.162795,5.07791,2.520772,3.226393,4.620068,5.166544,5.069867,4.318055,4.399507,4.33812,4.673522,4.807334,4.385794,4.529398,4.333928,111.827914
TEHAMA,Total,10.762195,10.566786,11.405263,12.243886,12.136492,11.161649,11.863109,11.958135,11.606746,12.606258,14.740535,20.126865,25.484681,17.246627,18.889094,19.845155,19.82425,19.016788,19.395116,20.256216,18.092744,19.813882,19.329318,22.524449,19.981924,16.951065,427.829228
TRINITY,Non-Residential,0.028152,0.029545,0.036584,0.037121,0.04125,0.041432,0.043961,0.039984,0.037544,0.040837,0.236994,0.264595,0.373074,0.216619,0.025226,0.085174,0.037524,0.037139,0.030842,0.030208,0.033494,0.035258,0.036192,0.031823,0.041347,0.047296,1.939215
